year,month,hl_sch
2005,1,15
2005,2,11
2005,3,14
2005,4,10
2005,5,9
2005,6,21
2005,7,31
2005,8,31
2005,9,15
2005,10,10
2005,11,9
2005,12,15
2006,1,14
2006,2,11
2006,3,8
2006,4,18
2006,5,9
2006,6,25
2006,7,31
2006,8,31
2006,9,17
2006,10,9
2006,11,9
2006,12,16
2007,1,13
2007,2,11
2007,3,9
2007,4,16
2007,5,9
2007,6,24
2007,7,31
2007,8,31
2007,9,19
2007,10,8
2007,11,10
2007,12,15
2008,1,12
2008,2,11
2008,3,15
2008,4,9
2008,5,10
2008,6,26
2008,7,31
2008,8,31
2008,9,19
2008,10,8
2008,11,11
2008,12,16
2009,1,13
2009,2,13
2009,3,9
2009,4,12
2009,5,11
2009,6,21
2009,7,31
2009,8,31
2009,9,17
2009,10,9
2009,11,9
2009,12,18
2010,1,15
2010,2,11
2010,3,8
2010,4,14
2010,5,10
2010,6,22
2010,7,31
2010,8,31
2010,9,19
2010,10,10
2010,11,9
2010,12,16
2011,1,15
2011,2,11
2011,3,8
2011,4,13
2011,5,9
2011,6,24
2011,7,31
2011,8,31
2011,9,19
2011,10,10
2011,11,9
2011,12,17
2012,1,14
2012,2,11
2012,3,9
2012,4,16
2012,5,9
2012,6,25
2012,7,31
2012,8,31
2012,9,18
2012,10,8
2012,11,10
2012,12,16
2013,1,12
2013,2,11
2013,3,4
2013,4,13
2013,5,13
2013,6,26
2013,7,31
2013,8,31
2013,9,18
2013,10,8
2013,11,10
2013,12,16
2014,1,13
2014,2,8
2014,3,10
2014,4,14
2014,5,10
2014,6,27
2014,7,31
2014,8,31
2014,9,18
2014,10,8
2014,11,10
2014,12,17
2015,1,14
2015,2,11
2015,3,9
2015,4,13
2015,5,11
2015,6,27
2015,7,31
2015,8,31
2015,9,19
2015,10,9
2015,11,9
2015,12,16
2016,1,14
2016,2,11
2016,3,13
2016,4,10
2016,5,9
2016,6,27
2016,7,31
2016,8,31
2016,9,19
2016,10,10
2016,11,9
2016,12,15
2017,1,15
2017,2,11
2017,3,8
2017,4,16
2017,5,9
2017,6,26
2017,7,31
2017,8,31
2017,9,18
2017,10,9
2017,11,9
2017,12,16
2018,1,13
2018,2,11
2018,3,11
2018,4,13
2018,5,9
2018,6,26
2018,7,31
2018,8,31
2018,9,19
2018,10,8
2018,11,10
2018,12,16
2019,1,12
2019,2,11
2019,3,10
2019,4,14
2019,5,9
2019,6,25
2019,7,31
2019,8,31
2019,9,18
2019,10,8
2019,11,10
2019,12,16
2020,1,12
2020,2,11
2020,3,9
2020,4,14
2020,5,11
2020,6,26
2020,7,31
2020,8,31
2020,9,18
2020,10,9
2020,11,10
2020,12,16
2021,1,14
2021,2,11
2021,3,8
2021,4,12
2021,5,10
2021,6,26
2021,7,31
2021,8,31
2021,9,18
2021,10,10
2021,11,9
2021,12,14
2022,1,15
2022,2,11
2022,3,8
2022,4,16
2022,5,9
2022,6,25
2022,7,31
2022,8,31
2022,9,18
2022,10,10
2022,11,9
2022,12,16
