date, trends
2004-01,47
2004-02,53
2004-03,38
2004-04,100
2004-05,56
2004-06,53
2004-07,19
2004-08,51
2004-09,45
2004-10,86
2004-11,51
2004-12,29
2005-01,59
2005-02,60
2005-03,48
2005-04,43
2005-05,56
2005-06,28
2005-07,46
2005-08,39
2005-09,46
2005-10,48
2005-11,60
2005-12,31
2006-01,41
2006-02,38
2006-03,54
2006-04,43
2006-05,40
2006-06,31
2006-07,33
2006-08,37
2006-09,40
2006-10,46
2006-11,39
2006-12,44
2007-01,33
2007-02,44
2007-03,38
2007-04,34
2007-05,34
2007-06,20
2007-07,20
2007-08,35
2007-09,30
2007-10,38
2007-11,34
2007-12,38
2008-01,36
2008-02,37
2008-03,38
2008-04,41
2008-05,29
2008-06,19
2008-07,19
2008-08,22
2008-09,18
2008-10,26
2008-11,26
2008-12,27
2009-01,27
2009-02,29
2009-03,29
2009-04,34
2009-05,25
2009-06,10
2009-07,11
2009-08,22
2009-09,29
2009-10,29
2009-11,28
2009-12,32
2010-01,28
2010-02,29
2010-03,35
2010-04,37
2010-05,22
2010-06,16
2010-07,11
2010-08,22
2010-09,20
2010-10,29
2010-11,29
2010-12,28
2011-01,29
2011-02,29
2011-03,29
2011-04,26
2011-05,17
2011-06,20
2011-07,12
2011-08,18
2011-09,15
2011-10,26
2011-11,23
2011-12,29
2012-01,25
2012-02,21
2012-03,30
2012-04,37
2012-05,21
2012-06,13
2012-07,10
2012-08,18
2012-09,19
2012-10,21
2012-11,26
2012-12,23
2013-01,22
2013-02,18
2013-03,29
2013-04,27
2013-05,20
2013-06,17
2013-07,17
2013-08,19
2013-09,16
2013-10,25
2013-11,24
2013-12,24
2014-01,24
2014-02,20
2014-03,25
2014-04,35
2014-05,23
2014-06,13
2014-07,17
2014-08,25
2014-09,15
2014-10,23
2014-11,22
2014-12,26
2015-01,23
2015-02,22
2015-03,26
2015-04,37
2015-05,24
2015-06,13
2015-07,11
2015-08,22
2015-09,19
2015-10,20
2015-11,26
2015-12,34
2016-01,25
2016-02,23
2016-03,21
2016-04,23
2016-05,19
2016-06,14
2016-07,10
2016-08,16
2016-09,15
2016-10,23
2016-11,20
2016-12,26
2017-01,24
2017-02,22
2017-03,23
2017-04,30
2017-05,17
2017-06,11
2017-07,11
2017-08,13
2017-09,15
2017-10,21
2017-11,18
2017-12,27
2018-01,20
2018-02,21
2018-03,25
2018-04,24
2018-05,17
2018-06,11
2018-07,12
2018-08,15
2018-09,14
2018-10,17
2018-11,22
2018-12,25
2019-01,18
2019-02,18
2019-03,22
2019-04,30
2019-05,14
2019-06,9
2019-07,11
2019-08,14
2019-09,17
2019-10,22
2019-11,25
2019-12,27
2020-01,23
2020-02,18
2020-03,6
2020-04,3
2020-05,4
2020-06,7
2020-07,11
2020-08,14
2020-09,14
2020-10,11
2020-11,4
2020-12,2
2021-01,4
2021-02,12
2021-03,4
2021-04,5
2021-05,14
2021-06,15
2021-07,13
2021-08,17
2021-09,14
2021-10,26
2021-11,29
2021-12,20
2022-01,19
2022-02,28
2022-03,24
2022-04,34
2022-05,23
2022-06,15
2022-07,16
2022-08,24
2022-09,19
2022-10,28
2022-11,23
2022-12,33
2023-01,29
2023-02,27
2023-03,27
2023-04,33
2023-05,21
2023-06,16
2023-07,14
2023-08,19
2023-09,24
2023-10,41
2023-11,37
2023-12,34
