month,year,visitors
01,2005,31202
02,2005,27478
03,2005,42306
04,2005,49084
05,2005,40615
06,2005,19797
07,2005,14477
08,2005,30387
09,2005,27682
10,2005,35239
11,2005,32793
12,2005,33355
01,2006,28148
02,2006,52744
03,2006,57707
04,2006,64350
05,2006,54288
06,2006,34857
07,2006,30097
08,2006,45845
09,2006,36372
10,2006,41369
11,2006,39532
12,2006,49346
01,2007,36947
02,2007,34133
03,2007,48607
04,2007,61164
05,2007,46866
06,2007,31543
07,2007,33750
08,2007,46263
09,2007,34401
10,2007,59020
11,2007,41811
12,2007,52306
01,2008,32045
02,2008,48548
03,2008,64370
04,2008,59857
05,2008,55070
06,2008,35001
07,2008,37312
08,2008,43083
09,2008,34167
10,2008,40257
11,2008,40312
12,2008,42174
01,2009,29720
02,2009,35143
03,2009,51336
04,2009,66516
05,2009,56235
06,2009,35909
07,2009,34716
08,2009,42966
09,2009,36210
10,2009,41624
11,2009,36982
12,2009,54979
01,2010,36590
02,2010,38542
03,2010,50313
04,2010,80104
05,2010,75297
06,2010,36569
07,2010,37903
08,2010,47466
09,2010,35862
10,2010,47393
11,2010,32934
12,2010,46825
01,2011,38908
02,2011,35259
03,2011,63188
04,2011,72288
05,2011,58571
06,2011,47589
07,2011,43352
08,2011,49867
09,2011,41728
10,2011,57966
11,2011,39833
12,2011,59902
01,2012,40206
02,2012,32538
03,2012,62385
04,2012,76033
05,2012,60353
06,2012,34415
07,2012,38540
08,2012,47656
09,2012,37753
10,2012,39167
11,2012,45105
12,2012,52691
01,2013,34403
02,2013,35438
03,2013,55805
04,2013,69816
05,2013,55812
06,2013,41125
07,2013,40233
08,2013,53432
09,2013,40302
10,2013,44031
11,2013,43925
12,2013,53655
01,2014,36611
02,2014,35724
03,2014,54316
04,2014,76124
05,2014,65012
06,2014,40823
07,2014,47805
08,2014,54381
09,2014,44719
10,2014,43970
11,2014,46410
12,2014,59426
01,2015,39919
02,2015,27111
03,2015,46366
04,2015,76845
05,2015,75231
06,2015,52950
07,2015,42810
08,2015,59123
09,2015,45023
10,2015,54509
11,2015,49337
12,2015,62789
01,2016,48524
02,2016,50301
03,2016,66237
04,2016,80506
05,2016,63497
06,2016,48460
07,2016,48441
08,2016,58148
09,2016,44346
10,2016,65686
11,2016,47686
12,2016,66383
01,2017,48477
02,2017,47010
03,2017,71084
04,2017,92038
05,2017,70155
06,2017,47672
07,2017,48573
08,2017,60022
09,2017,50607
10,2017,55180
11,2017,52850
12,2017,76989
01,2018,46118
02,2018,48821
03,2018,67796
04,2018,79866
05,2018,68278
06,2018,41249
07,2018,43507
08,2018,56876
09,2018,37086
10,2018,42322
11,2018,56403
12,2018,61544
01,2019,47148
02,2019,44106
03,2019,73419
04,2019,83771
05,2019,66047
06,2019,42150
07,2019,45044
08,2019,60101
09,2019,47092
10,2019,56440
11,2019,53735
12,2019,55200
01,2020,46866
02,2020,38588
03,2020,2732
04,2020,chiuso
05,2020,chiuso
06,2020,3243
07,2020,10667
08,2020,24377
09,2020,18120
10,2020,17736
11,2020,1130
12,2020,chiuso
01,2021,chiuso
02,2021,6028
03,2021,chiuso
04,2021,chiuso
05,2021,6951
06,2021,18987
07,2021,24981
08,2021,32516
09,2021,27833
10,2021,37380
11,2021,41431
12,2021,39951
01,2022,32489
02,2022,34466
03,2022,38024
04,2022,65199
05,2022,58835
06,2022,46099
07,2022,46655
08,2022,63103
09,2022,47511
10,2022,47181
11,2022,39288
12,2022,47727
